epoch,train_loss,train_iou,train_dice,val_loss,val_iou,val_dice,lr,encoder_frozen,seconds
1,1.3772080295226152,0.1778361052274704,0.301970899105072,1.3769288957118988,0.22796891629695892,0.3712942898273468,0.0001,True,3.7
2,1.1959016884074491,0.35708263516426086,0.5262503623962402,1.1909688711166382,0.4534943103790283,0.6240056157112122,0.0001,True,3.4
3,1.0765222521389233,0.5660336017608643,0.722888171672821,1.0975373983383179,0.6060792207717896,0.7547314167022705,0.0001,True,3.4
4,0.9945965514463537,0.6487109065055847,0.7869310975074768,1.0261935591697693,0.6835973858833313,0.8120675683021545,0.0001,True,3.4
5,0.9318957889781279,0.6726058721542358,0.8042610287666321,0.9743622541427612,0.7646588683128357,0.8666364550590515,0.0001,True,3.3
6,0.9076020507251515,0.694762647151947,0.8198937177658081,0.9630370140075684,0.7800969481468201,0.8764656782150269,1e-05,False,4.8
7,0.8955578944262337,0.7284730076789856,0.8429093360900879,0.9595677405595779,0.7890311479568481,0.8820765018463135,1e-05,False,4.8
8,0.8958309853778166,0.6978375911712646,0.8220310211181641,0.9441352039575577,0.7792818546295166,0.8759509921073914,1e-05,False,4.8
9,0.8691611570470473,0.7587658166885376,0.8628389239311218,0.9453834444284439,0.7780760526657104,0.8751887083053589,1e-05,False,4.7
10,0.8685671406633714,0.7461555004119873,0.8546265959739685,0.9434532970190048,0.7876191139221191,0.8811934590339661,1e-05,False,4.7
11,0.8689111576360815,0.7539574503898621,0.8597214818000793,0.9369942545890808,0.7824511528015137,0.877949595451355,1e-05,False,4.7
12,0.8541925549507141,0.7499212026596069,0.8570914268493652,0.929920956492424,0.7953904867172241,0.886036217212677,1e-05,False,4.7
13,0.8629816560184255,0.7222234010696411,0.8387104868888855,0.9253492206335068,0.7863052487373352,0.880370557308197,1e-05,False,4.8
14,0.8411050824558034,0.7725969552993774,0.8717119693756104,0.9282922744750977,0.7754538655281067,0.873527467250824,1e-05,False,4.7
15,0.8505208387094385,0.7518483400344849,0.8583486676216125,0.9198284894227982,0.7836980819702148,0.8787339925765991,1e-05,False,4.7
16,0.8455301032346838,0.7504786849021912,0.8574553728103638,0.9147449284791946,0.8006224036216736,0.889272928237915,1e-05,False,4.7
17,0.8224159759633681,0.7862825989723206,0.8803563117980957,0.9106290489435196,0.804542064666748,0.8916856050491333,1e-05,False,4.8
18,0.8288929041694192,0.7644016146659851,0.8664712309837341,0.908937618136406,0.7813372015953064,0.8772479295730591,1e-05,False,4.8
19,0.8157180828206679,0.7873545289039612,0.8810278177261353,0.9028935432434082,0.8065557479858398,0.892920970916748,1e-05,False,4.7
20,0.8109481825548059,0.7909060716629028,0.8832468390464783,0.8954294323921204,0.8040218353271484,0.8913660049438477,1e-05,False,4.7
21,0.8067324056344873,0.7851426601409912,0.8796413540840149,0.8954900652170181,0.8091071844100952,0.8944823145866394,1e-05,False,4.7
22,0.8081371153102201,0.7791505455970764,0.875868022441864,0.8919811993837357,0.8111724853515625,0.8957429528236389,1e-05,False,4.7
23,0.8004869117456324,0.7799887657165527,0.876397430896759,0.8874371647834778,0.8106324672698975,0.8954136371612549,1e-05,False,4.7
24,0.7947264418882483,0.7902972102165222,0.8828670382499695,0.8841719627380371,0.8155845403671265,0.898426353931427,1e-05,False,4.7
25,0.7953904832110685,0.777716875076294,0.8749614357948303,0.8748615831136703,0.814560055732727,0.8978044986724854,1e-05,False,4.8
26,0.789348840713501,0.78935307264328,0.8822776079177856,0.8714508414268494,0.8039505481719971,0.891322135925293,1e-05,False,4.7
27,0.7820383099948659,0.7767482995986938,0.8743481636047363,0.8679275065660477,0.8247454166412354,0.9039566516876221,1e-05,False,4.7
28,0.7805711556883419,0.786353349685669,0.8804006576538086,0.8656523376703262,0.8221730589866638,0.9024094343185425,1e-05,False,4.7
29,0.7695121274274939,0.7964733242988586,0.8867076635360718,0.8617637306451797,0.8196313977241516,0.9008762836456299,1e-05,False,4.7
30,0.7641863963183235,0.8002665638923645,0.8890534043312073,0.8569556474685669,0.8245609998703003,0.9038459062576294,1e-05,False,4.7
31,0.7536670109804939,0.8220996260643005,0.9023651480674744,0.8556871563196182,0.8142417073249817,0.8976110219955444,1e-05,False,4.7
32,0.7510463385020986,0.8035656809806824,0.8910855650901794,0.8496827930212021,0.828831672668457,0.9064056277275085,1e-05,False,4.8
33,0.743016358684091,0.8065910935401917,0.8929426074028015,0.8412929624319077,0.8264502286911011,0.9049797058105469,1e-05,False,4.8
34,0.7386034060926998,0.8111981749534607,0.8957585692405701,0.8416547626256943,0.8218697905540466,0.9022266864776611,1e-05,False,4.8
35,0.735569063354941,0.80986487865448,0.8949451446533203,0.8362208604812622,0.829495906829834,0.9068027138710022,1e-05,False,4.8
36,0.7255071156165179,0.8090991973876953,0.8944774270057678,0.8286063224077225,0.8285230398178101,0.9062210321426392,1e-05,False,4.9
37,0.7229428396505468,0.8196137547492981,0.9008656740188599,0.8256726264953613,0.8243365287780762,0.9037110209465027,1e-05,False,5.0
38,0.722177084754495,0.8055840730667114,0.892325222492218,0.8191117197275162,0.8323994874954224,0.9085349440574646,1e-05,False,5.0
39,0.7226913992096397,0.80553138256073,0.892292857170105,0.8218850493431091,0.8379582762718201,0.9118360280990601,1e-05,False,5.3
40,0.7163101785323199,0.8122482895851135,0.8963984847068787,0.8137940615415573,0.825735867023468,0.9045513272285461,1e-05,False,5.0
41,0.7101061554516063,0.822304904460907,0.9024888277053833,0.8106444776058197,0.8296396732330322,0.9068886041641235,1e-05,False,5.1
42,0.7080610149046954,0.8205218315124512,0.9014139175415039,0.8090618401765823,0.8322454690933228,0.9084432125091553,1e-05,False,4.9
43,0.7065898250131046,0.8183594942092896,0.9001075029373169,0.8050576597452164,0.8423566222190857,0.9144338369369507,1e-05,False,4.9
44,0.7058225764947779,0.8113724589347839,0.8958648443222046,0.7988582402467728,0.8356777429580688,0.9104841351509094,1e-05,False,5.1
45,0.6941249300451839,0.8282384276390076,0.9060507416725159,0.7986308336257935,0.8347610235214233,0.9099397659301758,1e-05,False,5.0
46,0.6865217650637907,0.8269602060317993,0.9052854180335999,0.7889350354671478,0.8280907869338989,0.9059624075889587,1e-05,False,4.9
47,0.6766244839219486,0.8286842703819275,0.9063175320625305,0.7850162088871002,0.834974467754364,0.910066545009613,1e-05,False,4.9
48,0.6786446396042319,0.8266185522079468,0.9050806164741516,0.7813345193862915,0.8345239162445068,0.9097988605499268,1e-05,False,4.8
49,0.684036556412192,0.8133193254470825,0.8970502614974976,0.7787232846021652,0.8381732702255249,0.9119632840156555,5e-06,False,5.7
50,0.6799205050748938,0.8116014003753662,0.8960043787956238,0.7771233022212982,0.8381101489067078,0.9119259119033813,5e-06,False,8.6
51,0.6641040444374084,0.8305091857910156,0.907407820224762,0.7747100740671158,0.8360810875892639,0.9107235074043274,5e-06,False,7.5
52,0.6653570322429433,0.8281707763671875,0.9060102701187134,0.7715705633163452,0.8363198637962341,0.9108651280403137,5e-06,False,6.7
53,0.6682462411768296,0.8270001411437988,0.9053093791007996,0.7698677033185959,0.8365606665611267,0.9110079407691956,5e-06,False,7.5
54,0.6604474151835722,0.8287898898124695,0.9063806533813477,0.7686213105916977,0.839735746383667,0.9128873348236084,5e-06,False,7.7
55,0.6608014983289382,0.8345273733139038,0.9098009467124939,0.7696907371282578,0.8353991508483887,0.9103187918663025,2.5e-06,False,8.1
56,0.6677967730690452,0.81404709815979,0.8974927663803101,0.7674798369407654,0.8374948501586914,0.9115616083145142,2.5e-06,False,7.6
57,0.6567193445037393,0.8316103219985962,0.9080646634101868,0.7642185240983963,0.8358407616615295,0.9105808734893799,2.5e-06,False,8.7
58,0.6624623466940487,0.8276947736740112,0.905725359916687,0.7664303481578827,0.8398230075836182,0.9129388928413391,2.5e-06,False,7.7
