epoch,train_loss,train_iou,train_dice,val_loss,val_iou,val_dice,lr,encoder_frozen,seconds
1,1.3726278417988826,0.15455366671085358,0.26772886514663696,1.351339864730835,0.26536673307418823,0.41943055391311646,0.0001,True,4.2
2,1.1566911371130693,0.35419851541519165,0.5231116414070129,1.0858497619628906,0.5252794623374939,0.6887648701667786,0.0001,True,3.9
3,1.040635883808136,0.49340400099754333,0.6607776880264282,0.9569375038146972,0.649658739566803,0.7876279950141907,0.0001,True,3.8
4,0.9272992265851874,0.6226287484169006,0.7674321532249451,0.8544987797737121,0.745387852191925,0.8541228771209717,0.0001,True,3.8
5,0.8657255580550746,0.6542217135429382,0.7909722328186035,0.7668158411979675,0.7497266530990601,0.8569642901420593,0.0001,True,3.8
6,0.8122337397776151,0.6915563941001892,0.817656934261322,0.7665498375892639,0.7871371507644653,0.880891740322113,1e-05,False,5.4
7,0.806800757583819,0.7220982909202576,0.8386260867118835,0.7681533932685852,0.7840637564659119,0.878963828086853,1e-05,False,5.4
8,0.7916883324321947,0.7301135063171387,0.8440064787864685,0.7582130789756775,0.7954976558685303,0.8861026763916016,1e-05,False,5.3
9,0.7801480575611717,0.7399041652679443,0.850511372089386,0.7475344777107239,0.8078051805496216,0.8936861157417297,1e-05,False,5.3
10,0.7722048916314778,0.756569504737854,0.8614171147346497,0.7399098038673401,0.8100985288619995,0.8950877785682678,1e-05,False,5.4
11,0.7656239992693851,0.7490840554237366,0.8565443754196167,0.7298442840576171,0.8153322339057922,0.8982732892036438,1e-05,False,5.4
12,0.7555284311896876,0.7581009268760681,0.8624088764190674,0.728079092502594,0.8154731392860413,0.8983588218688965,1e-05,False,5.3
13,0.7538036923659476,0.7488186359405518,0.8563708066940308,0.7158474922180176,0.8188592195510864,0.9004096388816833,1e-05,False,5.3
14,0.7483399949575725,0.7633260488510132,0.8657798171043396,0.7234686136245727,0.8184280395507812,0.9001489281654358,1e-05,False,5.4
15,0.7354001277371457,0.769263744354248,0.8695862889289856,0.7158832430839539,0.8162997961044312,0.8988602161407471,1e-05,False,5.3
16,0.7327678893741808,0.7740767598152161,0.872653067111969,0.7075573563575744,0.8218849897384644,0.9022358655929565,1e-05,False,5.3
17,0.7248425828783136,0.7799781560897827,0.8763906955718994,0.7064514756202698,0.8234890103340149,0.9032015204429626,1e-05,False,5.3
18,0.7227362613928946,0.7816275358200073,0.8774309158325195,0.7036541342735291,0.8208140134811401,0.9015901684761047,1e-05,False,5.3
19,0.7237076194662797,0.7708336710929871,0.870588481426239,0.6965907216072083,0.8280893564224243,0.9059615731239319,1e-05,False,5.3
20,0.7148411085731105,0.7733089923858643,0.8721649646759033,0.6855587005615235,0.832446813583374,0.9085631370544434,1e-05,False,5.4
21,0.7056008326379877,0.7802066802978516,0.8765349388122559,0.6738170862197876,0.8308960199356079,0.907638669013977,1e-05,False,5.3
22,0.6984561869972631,0.7987837791442871,0.8881376385688782,0.6747100710868835,0.8313326835632324,0.9078991413116455,1e-05,False,5.3
23,0.6989528505425704,0.7899013757705688,0.8826200366020203,0.6697773575782776,0.8336256742477417,0.909264862537384,1e-05,False,5.3
24,0.6889996120804235,0.8065933585166931,0.8929440379142761,0.6687601208686829,0.8359220027923584,0.9106290936470032,1e-05,False,5.4
25,0.686094161711241,0.7893484830856323,0.8822747468948364,0.6651974797248841,0.837915301322937,0.911810576915741,1e-05,False,5.3
26,0.6816426766546149,0.7890231013298035,0.8820714354515076,0.6565722227096558,0.8347359895706177,0.9099249243736267,1e-05,False,5.4
27,0.6728941359018025,0.8075423836708069,0.893525242805481,0.6503235220909118,0.8363670706748962,0.9108931422233582,1e-05,False,5.3
28,0.6729697020430314,0.788947343826294,0.8820241093635559,0.6483964204788208,0.8407415747642517,0.9134813547134399,1e-05,False,5.3
29,0.6742177480145505,0.7837256789207458,0.8787513375282288,0.6512907385826111,0.8369616866111755,0.9112456440925598,1e-05,False,5.4
30,0.6643190603507193,0.7938738465309143,0.885094404220581,0.6457788705825805,0.8382295370101929,0.911996603012085,1e-05,False,5.3
31,0.6635105264814276,0.8005369901657104,0.8892202973365784,0.6345788717269898,0.8399302363395691,0.9130022525787354,1e-05,False,5.3
32,0.6487479398125097,0.8216108679771423,0.9020707011222839,0.636520266532898,0.8413439989089966,0.9138368368148804,1e-05,False,5.3
33,0.6458589842444972,0.8138571381568909,0.8973773121833801,0.6305670022964478,0.8407690525054932,0.9134975671768188,1e-05,False,5.3
34,0.6480594026414972,0.8045883774757385,0.8917140364646912,0.6196750283241272,0.8438902497291565,0.9153367280960083,1e-05,False,5.3
35,0.6435778799809908,0.8009700179100037,0.8894873261451721,0.6207279443740845,0.8424715995788574,0.9145015478134155,1e-05,False,5.4
36,0.6354775773851495,0.8183434009552002,0.9000977277755737,0.6180074334144592,0.8427530527114868,0.9146673679351807,1e-05,False,5.3
37,0.6292876538477445,0.813271164894104,0.8970209956169128,0.6075800061225891,0.8456200957298279,0.9163533449172974,1e-05,False,5.3
38,0.6212940341547916,0.8227145075798035,0.9027354717254639,0.6079692244529724,0.8452404737472534,0.9161304235458374,1e-05,False,5.3
39,0.6271062901145533,0.8109679222106934,0.895618200302124,0.6030585408210755,0.8435404300689697,0.9151309132575989,1e-05,False,5.4
40,0.6111617339284796,0.8252865672111511,0.9042816162109375,0.6000098347663879,0.8437923789024353,0.9152792096138,1e-05,False,5.3
41,0.6165550884447599,0.8065321445465088,0.8929064869880676,0.6003122448921203,0.8444486856460571,0.9156651496887207,1e-05,False,5.3
42,0.6166483320687947,0.8228344321250916,0.9028076529502869,0.597642982006073,0.8463422060012817,0.9167771935462952,1e-05,False,5.3
43,0.6000964767054507,0.8231008052825928,0.9029679894447327,0.5902771353721619,0.8413808941841125,0.9138585925102234,1e-05,False,5.3
44,0.6036137405194735,0.8199417591094971,0.9010637402534485,0.5826887726783753,0.8465259671211243,0.9168850183486938,1e-05,False,5.4
45,0.5996451817060772,0.8179843425750732,0.8998805284500122,0.5796300292015075,0.8434942960739136,0.9151037931442261,1e-05,False,5.3
46,0.6009046278501812,0.8203664422035217,0.9013200998306274,0.578519093990326,0.8462452292442322,0.9167202711105347,1e-05,False,5.3
47,0.5920099929759377,0.8248793482780457,0.9040371179580688,0.5762175440788269,0.8455939888954163,0.9163380265235901,1e-05,False,5.3
48,0.5883245593623111,0.8237432241439819,0.9033544063568115,0.5698778927326202,0.8484194874763489,0.917994499206543,1e-05,False,5.4
49,0.5822939041413759,0.8314988613128662,0.907998263835907,0.5714593350887298,0.8488814234733582,0.9182648658752441,1e-05,False,5.3
50,0.5708224098933371,0.8340926766395569,0.9095425605773926,0.5639514744281768,0.8485965132713318,0.9180981516838074,1e-05,False,5.4
51,0.5711648699484373,0.8323527574539185,0.9085071086883545,0.5600214898586273,0.8457209467887878,0.9164125919342041,1e-05,False,5.4
52,0.5664885200952229,0.8372622728347778,0.9114238023757935,0.5542865812778472,0.8502052426338196,0.9190388321876526,1e-05,False,5.3
53,0.5611595103615209,0.8428020477294922,0.914696216583252,0.5525987625122071,0.8505802154541016,0.9192578792572021,1e-05,False,5.4
54,0.5584857306982342,0.8450315594673157,0.9160076975822449,0.5525988399982452,0.8501442074775696,0.9190031886100769,1e-05,False,5.3
55,0.5570715587390097,0.8396173119544983,0.9128173589706421,0.5534913420677186,0.846415638923645,0.9168202877044678,1e-05,False,5.4
56,0.5628798211875715,0.8214866518974304,0.9019957780838013,0.5519105315208435,0.8454642295837402,0.9162618517875671,1e-05,False,5.4
57,0.5568417153860393,0.8239946961402893,0.9035055637359619,0.5404195308685302,0.8475908637046814,0.9175092577934265,1e-05,False,5.4
58,0.5479740594562731,0.8397859334945679,0.9129170179367065,0.5353333532810212,0.8504632115364075,0.9191895127296448,1e-05,False,5.3
59,0.542621805479652,0.8360752463340759,0.9107199907302856,0.5369659543037415,0.8449795246124268,0.9159771203994751,5e-06,False,5.3
60,0.5527210392450032,0.8218613266944885,0.9022216200828552,0.5315650403499603,0.8467395305633545,0.9170102477073669,5e-06,False,5.4
